n 40, a 1.5, g 1, av_hit_count 0.145
n 40, a 1.5, g 2, av_hit_count 0.313
n 40, a 1.5, g 3, av_hit_count 0.401
n 40, a 1.5, g 4, av_hit_count 0.363
n 40, a 1.5, g 5, av_hit_count 0.262
n 40, a 1.5, g 6, av_hit_count 0.171
n 40, a 1.5, g 7, av_hit_count 0.121
n 40, a 1.5, g 8, av_hit_count 0.078
n 40, a 1.5, g 9, av_hit_count 0.044
n 40, a 1.5, g 10, av_hit_count 0.034
n 40, a 1.5, g 11, av_hit_count 0.013
n 40, a 1.5, g 12, av_hit_count 0.012
n 40, a 1.5, g 13, av_hit_count 0.003
n 40, a 1.5, g 14, av_hit_count 0.007
n 40, a 1.5, g 15, av_hit_count 0.005
n 40, a 1.5, g 16, av_hit_count 0.006
n 40, a 1.5, g 17, av_hit_count 0.004
n 40, a 1.5, g 18, av_hit_count 0.004
n 40, a 1.5, g 19, av_hit_count 0.002
n 40, a 1.5, g 20, av_hit_count 0
n 40, a 1.5, g 21, av_hit_count 0.001
n 40, a 1.5, g 22, av_hit_count 0
n 40, a 1.5, g 23, av_hit_count 0
n 40, a 1.5, g 24, av_hit_count 0
n 40, a 1.5, g 25, av_hit_count 0.002
n 40, a 1.5, g 26, av_hit_count 0
n 40, a 1.5, g 27, av_hit_count 0
n 40, a 1.5, g 28, av_hit_count 0
n 40, a 1.5, g 29, av_hit_count 0.001
n 40, a 1.5, g 30, av_hit_count 0
n 60, a 1.5, g 1, av_hit_count 0.163
n 60, a 1.5, g 2, av_hit_count 0.341
n 60, a 1.5, g 3, av_hit_count 0.398
n 60, a 1.5, g 4, av_hit_count 0.372
n 60, a 1.5, g 5, av_hit_count 0.258
n 60, a 1.5, g 6, av_hit_count 0.186
n 60, a 1.5, g 7, av_hit_count 0.139
n 60, a 1.5, g 8, av_hit_count 0.075
n 60, a 1.5, g 9, av_hit_count 0.057
n 60, a 1.5, g 10, av_hit_count 0.038
n 60, a 1.5, g 11, av_hit_count 0.024
n 60, a 1.5, g 12, av_hit_count 0.013
n 60, a 1.5, g 13, av_hit_count 0.014
n 60, a 1.5, g 14, av_hit_count 0.011
n 60, a 1.5, g 15, av_hit_count 0.004
n 60, a 1.5, g 16, av_hit_count 0.004
n 60, a 1.5, g 17, av_hit_count 0
n 60, a 1.5, g 18, av_hit_count 0.001
n 60, a 1.5, g 19, av_hit_count 0
n 60, a 1.5, g 20, av_hit_count 0.002
n 60, a 1.5, g 21, av_hit_count 0.001
n 60, a 1.5, g 22, av_hit_count 0.001
n 60, a 1.5, g 23, av_hit_count 0.001
n 60, a 1.5, g 24, av_hit_count 0.002
n 60, a 1.5, g 25, av_hit_count 0
n 60, a 1.5, g 26, av_hit_count 0
n 60, a 1.5, g 27, av_hit_count 0
n 60, a 1.5, g 28, av_hit_count 0
n 60, a 1.5, g 29, av_hit_count 0.002
n 60, a 1.5, g 30, av_hit_count 0
n 80, a 1.5, g 1, av_hit_count 0.161
n 80, a 1.5, g 2, av_hit_count 0.324
n 80, a 1.5, g 3, av_hit_count 0.414
n 80, a 1.5, g 4, av_hit_count 0.394
n 80, a 1.5, g 5, av_hit_count 0.341
n 80, a 1.5, g 6, av_hit_count 0.212
n 80, a 1.5, g 7, av_hit_count 0.14
n 80, a 1.5, g 8, av_hit_count 0.089
n 80, a 1.5, g 9, av_hit_count 0.068
n 80, a 1.5, g 10, av_hit_count 0.036
n 80, a 1.5, g 11, av_hit_count 0.023
n 80, a 1.5, g 12, av_hit_count 0.012
n 80, a 1.5, g 13, av_hit_count 0.012
n 80, a 1.5, g 14, av_hit_count 0.007
n 80, a 1.5, g 15, av_hit_count 0.01
n 80, a 1.5, g 16, av_hit_count 0.005
n 80, a 1.5, g 17, av_hit_count 0.005
n 80, a 1.5, g 18, av_hit_count 0.002
n 80, a 1.5, g 19, av_hit_count 0.002
n 80, a 1.5, g 20, av_hit_count 0
n 80, a 1.5, g 21, av_hit_count 0.003
n 80, a 1.5, g 22, av_hit_count 0.001
n 80, a 1.5, g 23, av_hit_count 0.001
n 80, a 1.5, g 24, av_hit_count 0
n 80, a 1.5, g 25, av_hit_count 0
n 80, a 1.5, g 26, av_hit_count 0.001
n 80, a 1.5, g 27, av_hit_count 0
n 80, a 1.5, g 28, av_hit_count 0
n 80, a 1.5, g 29, av_hit_count 0.002
n 80, a 1.5, g 30, av_hit_count 0
n 100, a 1.5, g 1, av_hit_count 0.174
n 100, a 1.5, g 2, av_hit_count 0.362
n 100, a 1.5, g 3, av_hit_count 0.406
n 100, a 1.5, g 4, av_hit_count 0.422
n 100, a 1.5, g 5, av_hit_count 0.314
n 100, a 1.5, g 6, av_hit_count 0.235
n 100, a 1.5, g 7, av_hit_count 0.15
n 100, a 1.5, g 8, av_hit_count 0.101
n 100, a 1.5, g 9, av_hit_count 0.062
